Start, End, Sleep quality, Time in bed, Wake up, Sleep Notes, Heart rate, Activity (steps),Time edit
 2018-12-04 21:56:28, 2018-12-05 06:45:20,93,8.48, :|, Pole fitness,87,0,9

 2018-12-06 02:16:09, 2018-12-06 07:52:23,54,5.36, :|, Drinking alcohol:Pole fitness,99,0,6

 2018-12-06 21:45:55, 2018-12-07 07:25:06,82,9.39, :|, Totm:??,90,0,10

 2018-12-08 22:25:18, 2018-12-09 08:20:48,92,9.55, :|, Totm:??,98,0,10

 2018-12-10 01:44:04, 2018-12-10 07:54:04,67,6.09, :), Climbing:Pole fitness:Worked out,75,0,7

 2018-12-11 23:34:25, 2018-12-12 08:02:35,85,8.28, :(, ,82,0,9

 2018-12-13 00:59:59, 2018-12-13 03:03:23,25,2.03, :(, ,82,0,3

 2018-12-13 03:03:54, 2018-12-13 07:46:53,47,4.42, :(, ??,97,0,5

 2018-12-14 01:02:48, 2018-12-14 07:15:00,67,6.12, :(, ??,80,149,7

 2018-12-15 00:14:01, 2018-12-15 07:35:01,72,7.2, :(, ??:??,95,5847,8

 2018-12-21 22:45:12, 2018-12-22 06:15:17,86,7.3, :(, Feeling ill ??:??,79,0,8

 2018-12-23 23:58:13, 2018-12-24 09:06:05,97,9.07, :|, Away from home,81,0,10

 2018-12-25 01:02:19, 2018-12-25 08:21:04,81,7.18, :|, Away from home:Drinking alcohol,80,502,8

 2018-12-27 00:53:27, 2018-12-27 03:49:14,35,2.55, :(, ,104,11946,3

 2018-12-28 08:13:29, 2018-12-28 14:05:51,66,5.52, :), Away from home,90,11039,6

 2018-12-30 05:58:11, 2018-12-30 11:59:03,73,6, :|, Away from home,82,10641,6

 2019-01-03 03:49:51, 2019-01-03 11:33:31,89,7.43, :|, Away from home,86,9774,8

 2019-01-04 03:27:12, 2019-01-04 12:54:16,100,9.27, :|, Away from home,89,6363,10

 2019-01-05 05:43:49, 2019-01-05 11:00:11,61,5.16, :), Away from home,108,3722,6

 2019-01-06 04:01:13, 2019-01-06 11:29:45,73,7.28, :), Away from home,71,16862,8

 2019-01-07 02:33:01, 2019-01-07 11:00:01,82,8.27, :|, Away from home:??,87,12515,9

 2019-01-08 03:34:31, 2019-01-08 11:42:33,71,8.08, :|, ,86,7015,9

